loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586898062.681,0.84,1.0,0.44772,0.12024,12
1586898063.14,0.92,0.96,0.27353,0.20493,13
1586898063.593,0.92,0.8,0.28882,0.54103,13
1586898064.041,0.96,0.92,0.1968,0.28104,13
1586898064.489,0.84,0.84,0.44152,0.46029,13
1586898064.947,0.76,0.92,0.63885,0.28459,13
1586898065.398,1.0,0.88,0.10303,0.37512,13
1586898065.811,0.88,1.0,0.37135,0.0988,13
1586898066.287,0.84,0.96,0.45902,0.19651,14
1586898066.756,0.84,0.8,0.46092,0.54703,14
1586898067.231,0.8,0.92,0.54753,0.28415,14
1586898067.697,0.92,0.84,0.26631,0.45113,14
1586898068.151,0.84,0.92,0.45039,0.29062,14
1586898068.612,0.96,0.88,0.21118,0.37255,14
1586898068.985,0.92,1.0,0.28921,0.13378,14
1586898069.442,0.92,0.96,0.28931,0.21843,15
1586898069.912,0.8,0.8,0.50305,0.52495,15
1586898070.359,0.84,0.92,0.45265,0.29389,15
1586898070.844,0.88,0.84,0.37057,0.44652,15
1586898071.306,0.92,0.92,0.30035,0.29518,15
1586898071.769,0.88,0.88,0.3688,0.37342,15
1586898072.144,0.88,1.0,0.36783,0.14077,15
1586898072.61,0.88,0.96,0.3824,0.22276,16
1586898073.057,0.88,0.8,0.367,0.52375,16
1586898073.518,0.84,0.92,0.4433,0.29303,16
1586898073.971,0.84,0.84,0.42387,0.44668,16
1586898074.417,0.84,0.92,0.44505,0.29481,16
1586898074.877,1.0,0.88,0.14337,0.37276,16
1586898075.246,0.92,1.0,0.2949,0.13159,16
1586898075.73,0.88,0.96,0.37006,0.21394,17
1586898076.203,0.96,0.8,0.20706,0.53589,17
1586898076.661,0.84,0.92,0.42995,0.28505,17
1586898077.109,0.84,0.84,0.45542,0.4561,17
1586898077.57,0.76,0.92,0.62758,0.28679,17
1586898078.018,1.0,0.88,0.11897,0.3733,17
1586898078.406,0.88,1.0,0.34927,0.11335,17
1586898078.877,0.88,0.96,0.37037,0.20538,18
1586898079.326,0.8,0.8,0.53779,0.53798,18
1586898079.785,0.84,0.92,0.40536,0.2877,18
1586898080.244,0.8,0.84,0.53751,0.4506,18
1586898080.726,0.84,0.92,0.4375,0.29274,18
1586898081.205,0.92,0.88,0.30286,0.37408,18
1586898081.605,0.96,1.0,0.21741,0.14473,18
1586898082.069,0.8,0.96,0.51671,0.2298,19
1586898082.517,0.84,0.8,0.44183,0.51734,19
1586898082.985,0.88,0.92,0.37376,0.3017,19
1586898083.44,0.92,0.84,0.29587,0.4461,19
1586898083.912,0.92,0.92,0.2988,0.29889,19
1586898084.368,0.92,0.88,0.30067,0.37501,19
1586898084.78,0.8,1.0,0.49466,0.14843,19
1586898085.25,0.84,0.96,0.44843,0.22907,20
1586898085.756,0.92,0.8,0.29444,0.52202,20
1586898086.246,0.8,0.92,0.52595,0.29674,20
1586898086.757,0.84,0.84,0.44904,0.44813,20
1586898087.242,0.96,0.92,0.22791,0.29395,20
1586898087.758,0.96,0.88,0.22497,0.37379,20
1586898088.195,0.68,1.0,0.73513,0.13759,20
1586898088.805,0.92,0.96,0.29525,0.22239,21
1586898089.363,0.96,0.8,0.21695,0.52688,21
1586898089.962,0.96,0.92,0.22044,0.29009,21
1586898090.522,0.92,0.84,0.30032,0.45439,21
1586898091.23,0.8,0.92,0.53065,0.2861,21
1586898091.874,0.76,0.88,0.61747,0.37322,21
1586898092.504,0.8,1.0,0.53505,0.12646,21
1586898093.12,0.88,0.96,0.37115,0.21751,22
1586898093.717,0.84,0.8,0.44925,0.52212,22
1586898094.371,0.92,0.92,0.29748,0.29536,22
1586898095.301,1.0,0.84,0.1499,0.44594,22
1586898096.047,0.92,0.92,0.29588,0.29215,22
1586898096.735,0.96,0.88,0.21537,0.3716,22
1586898097.311,0.96,1.0,0.20193,0.12321,22
1586898098.007,0.84,0.96,0.44981,0.20519,23
1586898098.657,0.88,0.8,0.36931,0.5409,23
1586898099.316,0.96,0.92,0.19921,0.28167,23
1586898100.248,0.88,0.84,0.37226,0.46255,23
1586898101.324,0.8,0.92,0.53465,0.28127,23
1586898102.385,0.84,0.88,0.46907,0.37475,23
1586898103.168,0.88,1.0,0.36793,0.10287,23
1586898103.982,0.92,0.96,0.28487,0.19714,24
1586898104.535,0.8,0.8,0.54746,0.54131,24
1586898105.007,0.8,0.92,0.54553,0.28537,24
1586898105.6,0.88,0.84,0.36839,0.44797,24
1586898106.305,0.88,0.92,0.36983,0.29047,24
1586898107.015,0.92,0.88,0.29207,0.37052,24
1586898107.4,0.96,1.0,0.2167,0.14397,24
1586898107.876,0.6,0.96,0.87697,0.2283,25
1586898108.339,0.88,0.8,0.37029,0.50937,25
1586898108.803,0.84,0.92,0.44261,0.3063,25
1586898109.326,0.76,0.84,0.57496,0.44103,25
1586898109.982,0.88,0.92,0.37612,0.31592,25
1586898110.636,0.72,0.88,0.62757,0.38429,25
1586898111.19,0.88,1.0,0.3831,0.21541,25
