loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-07
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586894329.392,0.12,0.2,0.69894,0.69771,12
1586894329.839,0.2,0.08,0.69536,0.69939,12
1586894330.274,0.28,0.2,0.66371,0.69766,12
1586894330.655,0.16,0.0,0.69599,0.70062,12
1586894331.09,0.24,0.12,0.69624,0.69876,13
1586894331.522,0.16,0.28,0.69622,0.6964,13
1586894331.953,0.12,0.12,0.69777,0.6968,13
1586894332.378,0.16,0.2,0.6946,0.69756,13
1586894332.813,0.2,0.08,0.68805,0.69919,13
1586894333.241,0.12,0.2,0.69868,0.69751,13
1586894333.608,0.16,0.0,0.70164,0.70037,13
1586894334.036,0.08,0.12,0.69918,0.69857,14
1586894334.465,0.16,0.28,0.69798,0.69629,14
1586894334.9,0.16,0.12,0.69388,0.69565,14
1586894335.341,0.12,0.2,0.69624,0.69741,14
1586894335.792,0.08,0.08,0.69521,0.69898,14
1586894336.222,0.12,0.2,0.69844,0.69736,14
1586894336.589,0.12,0.0,0.69042,0.70013,14
1586894337.02,0.24,0.12,0.69184,0.69839,15
1586894337.451,0.08,0.28,0.69894,0.69618,15
1586894337.886,0.12,0.12,0.69389,0.69461,15
1586894338.318,0.16,0.2,0.69776,0.69726,15
1586894338.752,0.12,0.08,0.69835,0.69877,15
1586894339.178,0.2,0.2,0.69417,0.69721,15
1586894339.541,0.2,0.0,0.69357,0.69988,15
1586894339.978,0.2,0.12,0.69211,0.6982,16
1586894340.45,0.04,0.28,0.69926,0.69607,16
1586894340.883,0.16,0.12,0.68984,0.69366,16
1586894341.316,0.16,0.2,0.69413,0.69712,16
1586894341.747,0.2,0.08,0.67688,0.69856,16
1586894342.18,0.24,0.2,0.68452,0.69706,16
1586894342.537,0.2,0.0,0.6933,0.69963,16
1586894343.019,0.2,0.12,0.66358,0.69801,17
1586894343.443,0.12,0.28,0.69337,0.69596,17
1586894343.867,0.08,0.12,0.69844,0.69241,17
1586894344.286,0.16,0.2,0.69054,0.69696,17
1586894344.709,0.08,0.08,0.69285,0.69835,17
1586894345.138,0.04,0.2,0.69888,0.69691,17
1586894345.523,0.12,0.0,0.69789,0.69937,17
1586894345.958,0.24,0.12,0.68463,0.69781,18
1586894346.385,0.24,0.28,0.69634,0.69584,18
1586894346.804,0.08,0.12,0.69021,0.69131,18
1586894347.214,0.2,0.2,0.68997,0.69681,18
1586894347.68,0.2,0.08,0.65476,0.69813,18
1586894348.096,0.16,0.2,0.68972,0.69675,18
1586894348.451,0.2,0.0,0.66099,0.69911,18
1586894348.869,0.04,0.12,0.68507,0.69762,19
1586894349.287,0.24,0.28,0.69622,0.69573,19
1586894349.716,0.16,0.12,0.691,0.69021,19
1586894350.142,0.12,0.2,0.69761,0.69665,19
1586894350.6,0.2,0.08,0.67509,0.69792,19
1586894351.036,0.08,0.2,0.69796,0.6966,19
1586894351.391,0.16,0.0,0.67886,0.69886,19
1586894351.825,0.2,0.12,0.68178,0.69742,20
1586894352.252,0.28,0.28,0.65249,0.69562,20
1586894352.682,0.04,0.12,0.69835,0.68904,20
1586894353.107,0.12,0.2,0.69739,0.69649,20
1586894353.54,0.0,0.08,0.69864,0.6977,20
1586894353.966,0.28,0.2,0.67671,0.69644,20
1586894354.326,0.12,0.0,0.68752,0.69859,20
1586894354.766,0.04,0.12,0.68766,0.69722,21
1586894355.202,0.24,0.28,0.68763,0.6955,21
1586894355.663,0.12,0.12,0.69721,0.68791,21
1586894356.097,0.0,0.2,0.69845,0.69634,21
1586894356.534,0.16,0.08,0.68634,0.69748,21
1586894356.977,0.12,0.2,0.68651,0.69628,21
1586894357.367,0.2,0.0,0.68691,0.69833,21
1586894357.809,0.08,0.12,0.69746,0.69703,22
1586894358.239,0.08,0.28,0.68912,0.69539,22
1586894358.743,0.2,0.12,0.67543,0.68698,22
1586894359.183,0.12,0.2,0.68884,0.69618,22
1586894359.667,0.12,0.08,0.69689,0.69726,22
1586894360.497,0.16,0.2,0.65952,0.69613,22
1586894360.887,0.04,0.0,0.6977,0.69807,22
1586894361.346,0.2,0.12,0.69608,0.69683,23
1586894361.818,0.08,0.28,0.69722,0.69527,23
1586894364.945,0.36,0.12,0.68244,0.68618,23
1586894365.577,0.08,0.2,0.68555,0.69603,23
1586894366.364,0.16,0.08,0.68731,0.69706,23
1586894366.909,0.16,0.2,0.71338,0.69599,23
1586894367.542,0.36,0.0,0.6668,0.69783,23
1586894368.275,0.08,0.12,0.68496,0.69666,24
1586894368.796,0.32,0.28,0.65458,0.69517,24
1586894369.3,0.28,0.12,0.64206,0.68544,24
1586894370.048,0.12,0.2,0.68728,0.69589,24
1586894370.639,0.2,0.08,0.67547,0.69686,24
1586894371.13,0.08,0.2,0.69701,0.69584,24
1586894371.561,0.2,0.0,0.70205,0.6976,24
1586894372.004,0.16,0.12,0.68353,0.69647,25
1586894372.509,0.12,0.28,0.67371,0.69507,25
1586894373.13,0.04,0.12,0.68331,0.68461,25
1586894373.747,0.08,0.2,0.69681,0.69575,25
1586894374.283,0.2,0.08,0.65813,0.69666,25
1586894374.797,0.12,0.2,0.68483,0.6957,25
1586894375.239,0.04,0.0,0.69697,0.69735,25
