times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586889362.067,0.92,0.92,0.28612,0.2825,13
1586889362.506,0.92,0.8,0.28412,0.53813,13
1586889362.915,0.92,0.92,0.27494,0.28077,13
1586889363.313,0.88,0.8,0.36869,0.54963,13
1586889363.643,0.8,1.0,0.66961,0.09952,13
1586889364.04,0.92,0.88,0.2802,0.37078,14
1586889364.43,0.84,0.72,0.4617,0.73361,14
1586889364.832,0.88,0.92,0.37589,0.28561,14
1586889365.27,0.92,0.8,0.28758,0.55024,14
1586889365.687,0.96,0.92,0.19621,0.27943,14
1586889366.084,0.88,0.8,0.37076,0.55293,14
1586889366.416,0.96,1.0,0.20562,0.0956,14
1586889366.823,0.8,0.88,0.56218,0.3707,15
1586889367.222,0.92,0.72,0.27975,0.73153,15
1586889367.629,0.92,0.92,0.28594,0.28582,15
1586889368.031,0.84,0.8,0.46032,0.54702,15
1586889368.425,0.88,0.92,0.36962,0.28108,15
1586889368.829,0.84,0.8,0.46163,0.53811,15
1586889369.156,0.84,1.0,0.45769,0.12004,15
1586889369.556,0.84,0.88,0.44984,0.36682,16
1586889369.965,0.96,0.72,0.20799,0.67854,16
1586889370.396,0.92,0.92,0.29045,0.28633,16
1586889370.803,0.88,0.8,0.36488,0.52074,16
1586889371.2,0.92,0.92,0.27681,0.29006,16
1586889371.602,0.84,0.8,0.43402,0.51986,16
1586889371.939,0.84,1.0,0.438,0.14278,16
1586889372.335,0.88,0.88,0.35637,0.3679,17
1586889372.739,0.92,0.72,0.28796,0.66483,17
1586889373.138,0.92,0.92,0.29347,0.28635,17
1586889373.535,0.88,0.8,0.3618,0.52052,17
1586889373.94,0.96,0.92,0.20979,0.2876,17
1586889374.336,0.96,0.8,0.20885,0.53278,17
1586889374.667,0.88,1.0,0.36768,0.11026,17
1586889375.092,0.84,0.88,0.44532,0.36871,18
1586889375.512,0.76,0.72,0.63153,0.7122,18
1586889375.916,0.96,0.92,0.19179,0.27764,18
1586889376.312,0.84,0.8,0.4498,0.53723,18
1586889376.707,0.92,0.92,0.26964,0.28329,18
1586889377.106,0.88,0.8,0.36288,0.53332,18
1586889377.44,0.88,1.0,0.35796,0.1217,18
1586889377.843,1.0,0.88,0.11677,0.36707,19
1586889378.235,0.76,0.72,0.61484,0.69167,19
1586889378.638,0.92,0.92,0.2764,0.28127,19
1586889379.038,0.88,0.8,0.36703,0.52663,19
1586889379.433,0.92,0.92,0.27216,0.28712,19
1586889379.831,0.92,0.8,0.28738,0.52682,19
1586889380.191,0.92,1.0,0.27722,0.12532,19
1586889380.608,0.88,0.88,0.35682,0.36688,20
1586889381.009,0.88,0.72,0.34718,0.6913,20
1586889381.402,0.96,0.92,0.2047,0.27985,20
1586889381.803,0.88,0.8,0.36727,0.53405,20
1586889382.196,1.0,0.92,0.11737,0.28196,20
1586889382.601,0.8,0.8,0.53085,0.54164,20
1586889382.934,0.92,1.0,0.27759,0.10655,20
1586889383.328,1.0,0.88,0.10224,0.36996,21
1586889383.729,0.8,0.72,0.54576,0.73063,21
1586889384.125,0.88,0.92,0.37034,0.27598,21
1586889384.521,1.0,0.8,0.09925,0.55439,21
1586889384.927,0.88,0.92,0.36754,0.27908,21
1586889385.356,0.92,0.8,0.2757,0.55902,21
1586889385.699,0.84,1.0,0.46201,0.09413,21
1586889386.098,0.92,0.88,0.27928,0.37167,22
1586889386.497,0.96,0.72,0.18313,0.74339,22
1586889386.9,0.88,0.92,0.36498,0.2754,22
1586889387.293,0.92,0.8,0.27561,0.55744,22
1586889387.697,0.88,0.92,0.37195,0.27915,22
1586889388.1,0.92,0.8,0.27182,0.55488,22
1586889388.43,0.96,1.0,0.18776,0.09524,22
1586889388.832,0.8,0.88,0.55576,0.37058,23
1586889389.233,0.92,0.72,0.27997,0.7289,23
1586889389.639,0.68,0.92,0.81346,0.27781,23
1586889390.074,0.96,0.8,0.19239,0.53298,23
1586889390.488,0.88,0.92,0.36254,0.28643,23
1586889390.894,0.8,0.8,2.79008,0.51513,23
1586889391.228,0.76,1.0,0.57053,0.17391,23
1586889391.63,0.96,0.88,0.23333,0.37921,24
1586889392.036,0.8,0.72,0.47859,0.61403,24
1586889392.435,0.84,0.92,0.41787,0.33974,24
1586889392.84,0.92,0.8,0.34167,0.50177,24
1586889393.237,0.88,0.92,0.40199,0.35615,24
1586889393.642,0.92,0.8,0.35623,0.50307,24
1586889393.977,0.84,1.0,0.46047,0.26131,24
1586889394.368,0.88,0.88,0.4068,0.40459,25
1586889394.772,0.96,0.72,0.30797,0.60298,25
1586889395.208,1.0,0.92,0.25836,0.33883,25
1586889395.618,0.92,0.8,0.3398,0.50057,25
1586889396.019,0.92,0.92,0.30656,0.31655,25
1586889396.41,0.92,0.8,0.30897,0.50752,25
1586889396.746,0.96,1.0,0.2368,0.14279,25
1586889397.139,0.8,0.88,0.51218,0.36689,26
1586889397.542,0.88,0.72,0.36025,0.70357,26
1586889397.947,0.96,0.92,0.19939,0.27591,26
1586889398.344,0.96,0.8,0.18964,0.57492,26
1586889398.759,0.8,0.92,0.57191,0.27837,26
1586889399.189,0.92,0.8,0.27258,0.58171,26
1586889399.523,0.96,1.0,0.17202,0.07279,26
1586889399.932,0.84,0.88,0.48059,0.38018,27
1586889400.372,0.8,0.72,0.5821,0.76046,27
1586889400.792,0.84,0.92,0.4681,0.27581,27
1586889401.196,0.92,0.8,0.2761,0.54076,27
1586889401.602,0.96,0.92,8.99587,0.30069,27
1586889402.018,0.96,0.8,3.46441,0.50057,27
1586889402.349,0.92,1.0,0.32808,0.25881,27
1586889402.743,0.96,0.88,0.29669,0.42487,28
1586889403.146,0.96,0.72,0.34014,0.59298,28
1586889403.543,0.76,0.92,0.53225,0.4229,28
1586889403.952,0.96,0.8,0.38932,0.53111,28
1586889404.352,0.92,0.92,0.42342,0.44143,28
1586889404.877,1.0,0.8,0.37962,0.53378,28
1586889405.309,0.84,1.0,0.51998,0.37351,28
1586889405.72,0.84,0.88,0.51908,0.46259,29
1586889406.124,0.92,0.72,0.41648,0.59328,29
1586889406.528,0.92,0.92,0.42055,0.40269,29
1586889406.94,0.84,0.8,0.47938,0.50978,29
1586889407.342,0.88,0.92,0.42849,0.36389,29
1586889407.764,0.88,0.8,0.40922,0.50105,29
1586889408.111,0.96,1.0,0.29373,0.20663,29
1586889408.54,0.8,0.88,0.50109,0.37482,30
1586889409.035,0.8,0.72,0.5102,0.6453,30
1586889409.584,1.0,0.92,0.16561,0.29196,30
1586889410.096,0.8,0.8,0.52091,0.53217,30
1586889410.536,0.92,0.92,0.28482,0.28045,30
1586889410.941,0.92,0.8,0.28477,0.56125,30
1586889411.276,0.72,1.0,0.75068,0.09142,30
1586889411.678,0.96,0.88,0.18499,0.37369,31
1586889412.079,0.92,0.72,0.28229,0.75802,31
1586889412.477,0.88,0.92,0.37485,0.28004,31
1586889412.879,0.92,0.8,0.27868,0.57006,31
1586889413.271,0.84,0.92,0.47569,0.2785,31
1586889413.689,0.92,0.8,0.26721,0.56321,31
1586889414.037,0.96,1.0,0.1857,0.08933,31
1586889414.429,0.96,0.88,0.18412,0.37458,32
1586889414.833,0.92,0.72,0.28254,0.76283,32
1586889415.272,0.84,0.92,0.47584,0.27975,32
1586889415.687,0.96,0.8,0.1867,0.56813,32
1586889416.09,0.88,0.92,0.37619,0.27851,32
1586889416.491,0.84,0.8,0.47039,0.56155,32
1586889416.828,0.8,1.0,0.56237,0.09839,32
1586889417.223,0.88,0.88,0.36444,0.36888,33
1586889417.625,0.92,0.72,0.28349,0.70961,33
1586889418.024,0.84,0.92,0.45339,0.28496,33
1586889418.421,0.88,0.8,0.36803,0.52781,33
1586889418.826,0.76,0.92,0.60827,0.29,33
1586889419.219,0.88,0.8,0.36722,0.51633,33
1586889419.547,0.92,1.0,0.29471,0.15251,33
1586889419.958,0.88,0.88,0.36888,0.36977,34
1586889420.399,0.92,0.72,0.2995,0.64956,34
1586889420.81,0.84,0.92,0.44041,0.30198,34
1586889421.21,0.96,0.8,0.23302,0.50931,34
1586889421.606,0.92,0.92,0.30174,0.30007,34
1586889422.006,0.88,0.8,0.36983,0.51168,34
1586889422.335,0.92,1.0,0.29787,0.15099,34
1586889422.743,0.92,0.88,0.29605,0.36785,35
1586889423.15,0.92,0.72,0.29342,0.67482,35
1586889423.551,0.84,0.92,0.44414,0.28862,35
1586889423.957,0.92,0.8,0.28869,0.52841,35
1586889424.354,0.96,0.92,0.20556,0.28368,35
1586889424.753,0.88,0.8,0.36745,0.54035,35
1586889425.128,0.84,1.0,0.45478,0.10646,35
1586889425.536,0.96,0.88,0.19475,0.3699,36
1586889425.939,0.84,0.72,0.45513,0.73366,36
1586889426.334,0.92,0.92,0.28094,0.27995,36
1586889426.73,0.88,0.8,0.37333,0.55754,36
1586889427.129,0.92,0.92,0.27922,0.27889,36
1586889427.531,0.88,0.8,0.37401,0.56018,36
1586889427.872,0.88,1.0,0.37391,0.09272,36
1586889428.265,0.88,0.88,0.36995,0.37182,37
1586889428.666,0.92,0.72,0.27943,0.73898,37
1586889429.067,0.88,0.92,0.3717,0.2801,37
1586889429.467,0.92,0.8,0.28086,0.5515,37
1586889429.871,0.92,0.92,0.28067,0.27986,37
1586889430.304,0.92,0.8,0.28086,0.55033,37
1586889430.651,0.92,1.0,0.2777,0.09996,37
1586889431.048,0.96,0.88,0.1901,0.37072,38
1586889431.442,0.8,0.72,0.55435,0.73143,38
1586889431.849,0.92,0.92,0.2801,0.28032,38
1586889432.252,0.72,0.8,0.72759,0.54411,38
1586889432.659,0.84,0.92,0.45701,0.28264,38
1586889433.06,0.92,0.8,0.28287,0.53296,38
1586889433.394,0.84,1.0,0.45024,0.12556,38
1586889433.796,0.88,0.88,0.3649,0.36691,39
1586889434.194,0.8,0.72,0.52418,0.67171,39
1586889434.599,0.88,0.92,0.36747,0.29394,39
1586889435.004,0.88,0.8,0.36808,0.51364,39
1586889435.431,0.96,0.92,0.22382,0.29715,39
1586889435.836,0.92,0.8,0.29729,0.51257,39
1586889436.168,0.92,1.0,0.29631,0.15282,39
1586889436.558,0.84,0.88,0.44095,0.36879,40
1586889436.962,0.92,0.72,0.29655,0.66036,40
1586889437.362,0.92,0.92,0.29586,0.29415,40
1586889437.76,0.92,0.8,0.29174,0.51906,40
1586889438.156,0.84,0.92,0.44055,0.28993,40
1586889438.55,0.68,0.8,0.75322,0.52021,40
1586889438.887,0.88,1.0,0.3641,0.13963,40
1586889439.282,0.96,0.88,0.21555,0.36726,41
1586889439.681,0.92,0.72,0.29238,0.67537,41
1586889440.111,0.92,0.92,0.29086,0.28948,41
1586889440.528,0.8,0.8,0.52417,0.52399,41
1586889440.935,1.0,0.92,0.13375,0.28686,41
1586889441.331,0.84,0.8,0.44284,0.52884,41
1586889441.662,0.92,1.0,0.28692,0.12086,41
1586889442.06,0.96,0.88,0.20376,0.36744,42
1586889442.456,0.84,0.72,0.45217,0.70824,42
1586889442.866,0.92,0.92,0.28376,0.28273,42
1586889443.263,1.0,0.8,0.10891,0.54723,42
1586889443.66,0.96,0.92,0.19285,0.27935,42
1586889444.058,0.88,0.8,0.37241,0.56177,42
1586889444.387,0.96,1.0,0.18591,0.08489,42
1586889444.782,0.96,0.88,0.18178,0.37892,43
1586889445.225,0.8,0.72,0.57729,0.78439,43
1586889445.639,0.96,0.92,0.17877,0.28023,43
1586889446.034,0.88,0.8,0.38308,0.58876,43
1586889446.426,0.88,0.92,0.3825,0.27903,43
1586889446.861,0.92,0.8,0.2794,0.58696,43
1586889447.198,0.8,1.0,0.58689,0.07829,43
1586889447.597,0.88,0.88,0.38038,0.37652,44
1586889447.992,0.88,0.72,0.37847,0.75437,44
1586889448.392,0.8,0.92,0.56428,0.28056,44
1586889448.79,0.8,0.8,0.55412,0.54285,44
1586889449.191,0.92,0.92,0.27429,0.28361,44
1586889449.597,0.92,0.8,0.2838,0.529,44
1586889449.928,0.92,1.0,0.28687,0.13022,44
1586889450.363,0.92,0.88,0.28886,0.36705,45
1586889450.784,0.8,0.72,0.52201,0.66981,45
1586889451.18,0.84,0.92,0.44391,0.29515,45
1586889451.581,0.92,0.8,0.29441,0.51371,45
1586889451.99,0.84,0.92,0.44281,0.29804,45
1586889452.387,0.84,0.8,0.44064,0.51035,45
1586889452.728,0.84,1.0,0.44102,0.16445,45
1586889453.122,0.84,0.88,0.44142,0.37195,46
1586889453.522,0.76,0.72,0.57604,0.6383,46
1586889453.923,0.96,0.92,0.24628,0.30893,46
1586889454.322,0.88,0.8,0.3746,0.50512,46
1586889454.721,0.88,0.92,0.37428,0.30868,46
1586889455.148,0.96,0.8,0.24437,0.50602,46
1586889455.491,0.84,1.0,0.43971,0.17153,46
1586889455.895,0.88,0.88,0.37367,0.37179,47
1586889456.289,0.92,0.72,0.30434,0.64785,47
1586889456.691,0.84,0.92,0.44008,0.29991,47
1586889457.086,0.92,0.8,0.29951,0.51288,47
1586889457.492,0.92,0.92,0.29756,0.29432,47
1586889457.896,0.88,0.8,0.36859,0.5186,47
1586889458.231,0.92,1.0,0.29288,0.13457,47
1586889458.637,0.92,0.88,0.29044,0.36689,48
1586889459.037,0.8,0.72,0.52713,0.69108,48
1586889459.434,0.84,0.92,0.44554,0.28553,48
1586889459.836,0.88,0.8,0.36696,0.53258,48
1586889460.28,0.88,0.92,0.36801,0.28396,48
1586889460.704,0.96,0.8,0.20156,0.53664,48
1586889461.036,1.0,1.0,0.11464,0.10899,48
1586889461.443,0.84,0.88,0.44784,0.36894,49
1586889461.847,0.92,0.72,0.28127,0.72642,49
1586889462.246,0.8,0.92,0.54817,0.28074,49
1586889462.649,0.92,0.8,0.28076,0.5499,49
1586889463.053,0.88,0.92,0.36747,0.28008,49
1586889463.449,0.88,0.8,0.37018,0.55023,49
1586889463.781,0.68,1.0,0.82089,0.10569,49
1586889464.173,0.84,0.88,0.45345,0.3679,50
1586889464.571,0.96,0.72,0.19803,0.70241,50
1586889464.974,0.84,0.92,0.45196,0.28549,50
1586889465.41,0.84,0.8,0.4493,0.52681,50
1586889465.826,0.8,0.92,0.52202,0.28936,50
1586889466.225,0.88,0.8,0.36711,0.51881,50
1586889466.556,0.96,1.0,0.21056,0.1444,50
1586889466.95,0.84,0.88,0.44312,0.36833,51
1586889467.346,0.92,0.72,0.29622,0.65911,51
1586889467.747,0.92,0.92,0.29409,0.29669,51
1586889468.148,1.0,0.8,0.15184,0.51485,51
1586889468.541,0.96,0.92,0.22186,0.29307,51
1586889468.939,0.88,0.8,0.36825,0.51951,51
1586889469.268,1.0,1.0,0.14023,0.13229,51
1586889469.668,0.84,0.88,0.44627,0.3669,52
1586889470.103,0.92,0.72,0.28696,0.69454,52
1586889470.509,1.0,0.92,0.12299,0.28361,52
1586889470.914,0.96,0.8,0.19908,0.54407,52
1586889471.313,0.88,0.92,0.36518,0.27998,52
1586889471.707,0.92,0.8,0.2816,0.55806,52
1586889472.04,0.84,1.0,0.46607,0.08993,52
1586889472.436,0.84,0.88,0.46911,0.37415,53
1586889472.835,0.8,0.72,0.56649,0.7528,53
1586889473.233,0.96,0.92,0.1847,0.27942,53
1586889473.634,0.96,0.8,0.1847,0.56469,53
1586889474.064,0.96,0.92,0.18414,0.27869,53
1586889474.458,0.88,0.8,0.37501,0.56852,53
1586889474.793,0.84,1.0,0.46731,0.08655,53
1586889475.23,0.8,0.88,0.56778,0.37354,54
1586889475.642,0.84,0.72,0.46455,0.74166,54
1586889476.038,0.84,0.92,0.46477,0.28063,54
1586889476.432,0.76,0.8,0.64038,0.54109,54
1586889476.834,0.96,0.92,0.19598,0.28357,54
1586889477.233,0.88,0.8,0.36828,0.5301,54
1586889477.563,0.84,1.0,0.44851,0.12961,54
1586889477.964,1.0,0.88,0.12992,0.367,55
1586889478.362,0.96,0.72,0.21154,0.67691,55
1586889478.866,0.84,0.92,0.44509,0.29065,55
1586889479.264,0.92,0.8,0.29097,0.52038,55
1586889479.666,0.92,0.92,0.29123,0.29054,55
1586889480.114,0.92,0.8,0.29079,0.52139,55
1586889480.458,0.96,1.0,0.21338,0.13265,55
1586889480.874,0.96,0.88,0.21094,0.3669,56
1586889481.27,0.88,0.72,0.3671,0.69139,56
1586889481.676,0.92,0.92,0.28611,0.28469,56
1586889482.073,0.84,0.8,0.45035,0.53493,56
1586889482.468,0.88,0.92,0.36745,0.28306,56
1586889482.874,0.88,0.8,0.36828,0.53841,56
1586889483.205,0.84,1.0,0.45338,0.11196,56
1586889483.598,0.96,0.88,0.19727,0.36815,57
1586889483.995,0.92,0.72,0.28218,0.71575,57
1586889484.391,0.92,0.92,0.2817,0.28125,57
1586889484.79,0.88,0.8,0.36904,0.54615,57
1586889485.224,0.88,0.92,0.36941,0.28065,57
1586889485.644,0.88,0.8,0.36962,0.54762,57
1586889485.976,0.92,1.0,0.28059,0.10199,57
1586889486.374,0.84,0.88,0.45912,0.36955,58
1586889486.769,0.84,0.72,0.45846,0.72153,58
1586889487.163,0.96,0.92,0.19284,0.28102,58
1586889487.559,0.92,0.8,0.28096,0.54467,58
1586889487.957,0.92,0.92,0.28095,0.28107,58
1586889488.35,0.92,0.8,0.28249,0.54586,58
1586889488.685,0.88,1.0,0.36897,0.10412,58
1586889489.084,0.92,0.88,0.28075,0.36939,59
1586889489.483,0.72,0.72,0.72392,0.71796,59
1586889489.883,0.8,0.92,0.54306,0.28238,59
1586889490.32,0.96,0.8,0.19713,0.5356,59
1586889490.739,0.92,0.92,0.28578,0.28415,59
1586889491.143,0.96,0.8,0.20071,0.5332,59
1586889491.474,0.92,1.0,0.28408,0.11825,59
1586889491.875,0.8,0.88,0.53332,0.36716,60
1586889492.275,0.92,0.72,0.28639,0.69534,60
1586889492.681,0.88,0.92,0.36687,0.28503,60
1586889493.077,0.92,0.8,0.28535,0.53047,60
1586889493.472,0.68,0.92,0.77535,0.28676,60
1586889493.869,1.0,0.8,0.12635,0.52611,60
1586889494.2,0.88,1.0,0.36644,0.12972,60
1586889494.607,0.8,0.88,0.52462,0.36701,61
1586889495.012,0.88,0.72,0.36678,0.67584,61
1586889495.446,0.96,0.92,0.21276,0.28982,61
1586889495.855,0.92,0.8,0.29012,0.52151,61
1586889496.258,0.88,0.92,0.36651,0.28964,61
1586889496.674,0.88,0.8,0.36674,0.52233,61
1586889497.011,0.84,1.0,0.4447,0.13429,61
1586889497.417,0.84,0.88,0.44692,0.36714,62
1586889497.834,0.8,0.72,0.52401,0.67337,62
1586889498.241,0.96,0.92,0.21358,0.29047,62
1586889498.647,0.84,0.8,0.44341,0.51972,62
1586889499.058,0.84,0.92,0.44295,0.2917,62
1586889499.463,0.92,0.8,0.29173,0.5188,62
1586889499.81,0.96,1.0,0.21614,0.13866,62
1586889500.243,0.96,0.88,0.21403,0.3671,63
1586889500.659,0.92,0.72,0.28944,0.68201,63
1586889501.07,0.92,0.92,0.28789,0.28633,63
1586889501.478,0.96,0.8,0.20581,0.53203,63
1586889501.892,0.96,0.92,0.20212,0.28279,63
1586889502.299,0.92,0.8,0.28271,0.54389,63
1586889502.639,0.92,1.0,0.28121,0.10007,63
1586889503.038,0.96,0.88,0.19013,0.37226,64
1586889503.453,0.92,0.72,0.27907,0.75811,64
1586889503.863,0.88,0.92,0.37473,0.27864,64
1586889504.269,0.88,0.8,0.37678,0.57711,64
1586889504.679,0.96,0.92,0.17937,0.27885,64
1586889505.121,0.92,0.8,0.27898,0.58755,64
1586889505.469,0.8,1.0,0.58747,0.07464,64
1586889505.873,0.76,0.88,0.68862,0.37885,65
1586889506.282,0.84,0.72,0.47868,0.76419,65
1586889506.694,0.96,0.92,0.17777,0.27865,65
1586889507.099,0.88,0.8,0.37374,0.55788,65
1586889507.496,0.92,0.92,0.27559,0.27987,65
1586889507.902,1.0,0.8,0.09714,0.55105,65
1586889508.233,0.84,1.0,0.46041,0.10229,65
1586889508.631,0.96,0.88,0.1907,0.36937,66
1586889509.027,0.88,0.72,0.369,0.72058,66
1586889509.423,0.84,0.92,0.45647,0.28134,66
1586889509.83,0.92,0.8,0.28076,0.54001,66
1586889510.266,0.88,0.92,0.36719,0.28293,66
1586889510.678,1.0,0.8,0.11165,0.53804,66
1586889511.01,0.92,1.0,0.27821,0.11156,66
1586889511.406,0.88,0.88,0.36784,0.36825,67
1586889511.805,0.96,0.72,0.19514,0.71535,67
1586889512.211,0.88,0.92,0.37355,0.28119,67
1586889512.615,0.96,0.8,0.19353,0.54708,67
1586889513.01,0.88,0.92,0.36844,0.28099,67
1586889513.41,0.92,0.8,0.27949,0.55174,67
1586889513.742,0.92,1.0,0.2799,0.09579,67
1586889514.141,0.8,0.88,0.55489,0.37129,68
1586889514.536,0.8,0.72,0.5539,0.72958,68
1586889514.939,0.88,0.92,0.36906,0.28079,68
1586889515.373,0.96,0.8,0.18768,0.5429,68
1586889515.781,0.84,0.92,0.45519,0.28284,68
1586889516.183,0.96,0.8,0.19607,0.5378,68
1586889516.517,0.76,1.0,0.62684,0.11708,68
1586889516.917,0.96,0.88,0.20006,0.36726,69
1586889517.313,0.92,0.72,0.28851,0.69581,69
1586889517.706,0.88,0.92,0.36603,0.28503,69
1586889518.103,0.84,0.8,0.44797,0.52858,69
1586889518.5,0.92,0.92,0.2858,0.28683,69
1586889518.897,0.88,0.8,0.36648,0.52676,69
1586889519.228,0.8,1.0,0.52718,0.12986,69
1586889519.622,0.76,0.88,0.60288,0.36718,70
1586889520.026,0.8,0.72,0.52166,0.66909,70
1586889520.455,0.8,0.92,0.51778,0.29463,70
1586889520.865,0.84,0.8,0.43563,0.51169,70
1586889521.262,0.88,0.92,0.36887,0.30121,70
1586889521.674,0.8,0.8,0.50887,0.50737,70
1586889522.005,0.84,1.0,0.43844,0.1758,70
1586889522.402,0.88,0.88,0.37302,0.375,71
1586889522.806,0.88,0.72,0.37504,0.63166,71
1586889523.207,0.96,0.92,0.24811,0.31138,71
1586889523.604,0.92,0.8,0.31066,0.50417,71
1586889524.0,0.92,0.92,0.31042,0.30921,71
1586889524.408,0.88,0.8,0.3738,0.50598,71
1586889524.738,0.92,1.0,0.31109,0.16904,71
1586889525.16,0.84,0.88,0.43833,0.371,72
1586889525.584,0.76,0.72,0.58047,0.64858,72
1586889525.991,0.88,0.92,0.37057,0.29916,72
1586889526.398,0.8,0.8,0.50861,0.51093,72
1586889526.796,0.92,0.92,0.29864,0.29813,72
1586889527.19,0.88,0.8,0.36883,0.51302,72
1586889527.533,0.96,1.0,0.22432,0.14828,72
1586889527.934,0.84,0.88,0.43984,0.36786,73
1586889528.334,0.96,0.72,0.21841,0.6714,73
1586889528.734,0.88,0.92,0.3668,0.2889,73
1586889529.134,0.84,0.8,0.44406,0.52435,73
1586889529.533,0.96,0.92,0.20898,0.28652,73
1586889529.934,0.84,0.8,0.44718,0.53013,73
1586889530.3,1.0,1.0,0.12248,0.11699,73
1586889530.714,0.8,0.88,0.53864,0.36765,74
1586889531.111,0.96,0.72,0.19751,0.71235,74
1586889531.51,0.92,0.92,0.28163,0.28072,74
1586889531.909,0.84,0.8,0.4608,0.54651,74
1586889532.305,0.92,0.92,0.27979,0.28028,74
