loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586899021.884,0.84,0.8,0.45024,0.53078,1
1586899022.337,0.88,0.92,0.36285,0.28523,1
1586899022.811,0.88,0.68,0.36598,0.78614,1
1586899023.264,0.88,0.92,0.36669,0.28228,1
1586899023.708,0.96,0.72,0.19908,0.7124,1
1586899024.128,0.84,0.9231,0.45292,0.27026,1
1586899024.584,0.8,0.8,0.53637,0.53663,2
1586899025.041,1.0,0.92,0.10958,0.29746,2
1586899025.501,0.88,0.92,0.36822,0.28591,2
1586899025.981,0.96,0.8,0.19418,0.54289,2
1586899026.446,0.88,0.92,0.37003,0.27738,2
1586899026.905,0.68,0.92,0.81284,0.28161,2
1586899027.358,0.96,0.88,0.19771,0.37178,2
1586899027.812,0.72,0.96,0.69966,0.19968,2
1586899028.268,0.92,0.88,0.28752,0.36198,2
1586899028.709,0.88,0.92,0.36451,0.28457,2
1586899029.172,0.88,0.88,0.35972,0.38005,2
1586899029.62,0.84,0.96,0.44202,0.21905,2
1586899030.087,0.88,0.96,0.36288,0.22498,2
1586899030.54,0.88,0.96,0.36494,0.2207,2
1586899031.021,0.88,0.88,0.36517,0.36999,2
1586899031.487,0.92,0.96,0.30017,0.22796,2
1586899031.954,0.92,0.88,0.29893,0.37327,2
1586899032.411,0.92,0.84,0.29723,0.43495,2
1586899032.879,0.92,0.84,0.29279,0.43628,2
1586899033.344,0.76,0.88,0.59186,0.36865,2
1586899033.831,0.84,1.0,0.44372,0.14375,2
1586899034.334,0.88,0.8,0.36939,0.51319,2
1586899034.851,0.96,0.96,0.21627,0.21414,2
1586899035.306,1.0,0.84,0.14008,0.44689,2
1586899035.757,0.88,0.8,0.36605,0.52564,2
1586899036.235,0.92,0.72,0.29368,0.70127,2
1586899036.676,0.92,1.0,0.28583,0.11012,2
1586899037.142,0.84,0.96,0.44936,0.19531,2
1586899037.58,0.96,0.96,0.19064,0.18593,2
1586899038.033,0.92,0.88,0.28144,0.36932,2
1586899038.48,0.88,0.92,0.37149,0.282,2
1586899038.966,0.92,0.96,0.2863,0.18089,2
1586899039.425,0.96,0.84,0.18429,0.4678,2
1586899039.874,0.92,0.92,0.27644,0.28017,2
1586899040.345,0.88,0.88,0.38569,0.38409,2
1586899040.796,0.88,0.8,0.3884,0.60566,2
1586899041.288,0.92,0.92,0.28335,0.27276,2
1586899041.729,0.8,0.8,0.621,0.61611,2
1586899042.195,0.88,0.88,0.372,0.36845,2
1586899042.637,0.88,0.96,0.37752,0.18775,2
1586899043.099,0.84,0.76,0.46358,0.62517,2
1586899043.56,0.88,0.8,0.36384,0.53143,2
1586899044.014,0.88,0.88,0.367,0.36154,2
1586899044.476,0.8,0.96,0.52227,0.21402,2
1586899044.927,0.88,0.96,0.36662,0.22116,2
1586899045.395,1.0,0.84,0.14678,0.44363,2
1586899045.855,0.8,0.92,0.51083,0.29923,2
1586899046.362,0.84,0.92,0.44022,0.30087,2
1586899046.811,0.88,0.88,0.36603,0.37611,2
1586899047.262,0.96,0.92,0.23955,0.30323,2
1586899047.704,1.0,0.88,0.16975,0.37019,2
1586899048.173,0.84,0.92,0.43664,0.30008,2
1586899048.615,0.88,0.92,0.36772,0.29897,2
1586899049.066,0.92,0.96,0.29829,0.22148,2
1586899049.546,0.92,0.8,0.29636,0.51642,2
1586899050.004,0.76,0.92,0.58735,0.29228,2
1586899050.479,0.92,0.68,0.29005,0.75281,2
1586899051.012,0.96,0.92,0.21479,0.28596,2
1586899051.629,0.88,0.72,0.36748,0.69436,2
1586899052.07,0.84,0.9231,0.44984,0.27334,2
