loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-06
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586893988.145,0.84,1.0,0.64726,0.66149,21
1586893988.666,0.92,0.88,0.66672,0.66907,22
1586893989.114,0.96,0.72,0.63978,0.67936,22
1586893989.602,0.88,0.92,0.61867,0.64092,22
1586893990.344,0.92,0.8,0.64191,0.67383,22
1586893991.022,0.88,0.92,0.66848,0.66563,22
1586893991.696,0.92,0.8,0.61459,0.67351,22
1586893992.247,0.96,1.0,0.66271,0.65966,22
1586893992.962,0.8,0.88,0.67336,0.66771,23
1586893993.616,0.92,0.72,0.66494,0.6786,23
1586893994.095,0.68,0.92,0.6556,0.6393,23
1586893994.523,0.96,0.8,0.63628,0.67279,23
1586893995.092,0.88,0.92,0.64273,0.66416,23
1586893995.582,0.8,0.8,0.79902,0.67251,23
1586893996.946,0.76,1.0,0.6046,0.65801,23
1586893999.999,0.96,0.88,0.63546,0.66651,24
1586894000.4,0.8,0.72,0.59588,0.67795,24
1586894000.904,0.84,0.92,0.59189,0.63815,24
1586894001.373,0.92,0.8,0.63905,0.67193,24
1586894001.831,0.88,0.92,0.61712,0.66296,24
1586894002.257,0.92,0.8,0.66303,0.67166,24
1586894002.62,0.84,1.0,0.75998,0.65659,24
1586894003.031,0.88,0.88,0.64027,0.66546,25
1586894003.544,0.96,0.72,0.60998,0.67737,25
1586894004.197,1.0,0.92,0.63085,0.63719,25
1586894005.53,0.92,0.8,0.6622,0.67111,25
1586894006.27,0.92,0.92,0.5872,0.6618,25
1586894007.175,0.92,0.8,0.63721,0.67085,25
1586894007.634,0.96,1.0,0.65852,0.65516,25
